fecha,empresa,rol,link,canal,estado,seguimiento,notas
2026-09-05,Elempleo / cliente,Developer Salesforce 1-3 años,https://www.elempleo.com/co/ofertas-trabajo/developer-salesforce-1886718486,Elempleo,pendiente,2026-09-08,Mejor encaje junior
2026-09-05,Hitss Colombia,Desarrollador(a) Salesforce,https://www.linkedin.com/jobs/search/?keywords=Salesforce%20Hitss&location=Colombia,LinkedIn,pendiente,2026-09-08,
2026-09-05,Hitss Colombia,Ingeniero Salesforce Sales & Service,https://www.linkedin.com/jobs/search/?keywords=Salesforce%20Hitss&location=Colombia,LinkedIn,pendiente,2026-09-08,
2026-09-05,Veta Virtual,Salesforce Administrator,https://www.linkedin.com/jobs/search/?keywords=Salesforce%20Administrator&location=Colombia,LinkedIn,pendiente,2026-09-08,
2026-09-05,Inetum,Salesforce Junior Developer Offshore,https://www.inetum.com/be/nl/careers/fe97c03d-b6d9-4d20-918f-7a821cb35556.html,Careers,pendiente,2026-09-08,
2026-09-05,Inetum,Developer Salesforce Vlocity Intermedio,https://www.linkedin.com/jobs/search/?keywords=Vlocity%20Inetum&location=Colombia,LinkedIn,pendiente,2026-09-08,Postular igual
2026-09-05,Michael Page,Desarrollador Salesforce temporal,https://www.michaelpage.com.co/job-detail/desarrollador-salesforce/ref/jn-062026-7039649,Michael Page,pendiente,2026-09-08,Ref JN-062026-7039649
2026-09-05,Michael Page,Profesional desarrollo y mantenimiento SF,https://www.michaelpage.com.co/job-detail/profesional-de-desarrollo-y-mantenimiento-salesforce/ref/jn-082026-7077242,Michael Page,pendiente,2026-09-08,Ref JN-082026-7077242
2026-09-05,Mindtech,Desarrollador Salesforce 100% remoto,https://co.indeed.com/q-salesforce-developer-empleos.html,Indeed,pendiente,2026-09-08,
2026-09-05,VASS LATAM,Consultor Salesforce MD,https://www.linkedin.com/jobs/search/?keywords=Consultor%20Salesforce%20VASS&location=Colombia,LinkedIn,pendiente,2026-09-08,
2026-09-05,Slalom,Salesforce Developer Colombia / ARM-CPQ,https://jobs.slalom.com/es_ES/careersmarketplace/JobDetail/Salesforce-Developer-ARM-CPQ/2093,Slalom careers,pendiente,2026-09-10,3+ años; stretch
2026-09-05,NTT DATA,Talento Salesforce junior / BA,https://careers.services.global.ntt/global/en/search-results?keywords=Salesforce%20Colombia,NTT careers + LinkedIn,pendiente,2026-09-10,Site oficial a veces filled
2026-09-05,BairesDev,Salesforce Engineer LWC,https://www.linkedin.com/jobs/search/?keywords=Salesforce%20Engineer%20BairesDev&location=Colombia,LinkedIn,pendiente,2026-09-10,Ingles ayuda
2026-09-05,Globant,Bolsa Salesforce,https://www.globant.com/careers,Careers,pendiente,2026-09-10,
2026-09-05,Accenture Colombia,Salesforce,https://www.accenture.com/co-es/careers/jobsearch,Careers,pendiente,2026-09-10,
2026-09-05,ProContacto,No contactar — salud primero,,—,descartado,,No reingreso
2026-09-05,Workana,Perfil + 5 propuestas Salesforce,https://www.workana.com/es/jobs?query=salesforce,Freelance,pendiente,2026-09-06,
2026-09-05,Upwork,Perfil + 5 propuestas Salesforce,https://www.upwork.com/nx/search/jobs/?q=salesforce%20developer,Freelance,pendiente,2026-09-06,
2026-09-05,BairesDev,Junior Angular Developer,https://www.elempleo.com/co/ofertas-trabajo/trabajo-desde-casa-junior-angular-developer-1886560048,Elempleo/LinkedIn,pendiente,2026-09-08,1 año Angular
2026-09-05,BairesDev,Node.js Junior Backend,https://www.linkedin.com/jobs/search/?keywords=Node.js%20Junior%20BairesDev&location=Colombia,LinkedIn,pendiente,2026-09-08,
2026-09-05,Sombra,Junior Frontend Angular,https://co.trabajo.org/oferta-1402-04596033a1c66d34bd483dda42c414c0,Aviso,pendiente,2026-09-08,Hace 2 dias
2026-09-05,Magneto Global,Desarrollador web Angular/React,https://www.magneto365.com/co/empleos/desarrollador-975645,Magneto,pendiente,2026-09-08,
2026-09-05,Davivienda,Full stack Angular JS,https://www.magneto365.com/co/empleos/profesional-ii-desarrollador-tribu-identidad-digital-ciam-1010203,Magneto,pendiente,2026-09-10,Stretch 2+ anos
2026-09-05,Listos SAS,Junior desarrollo y soporte Angular,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-junior-desarrollo-y-soporte-bogota-hibrido-1886741059,Elempleo,pendiente,2026-09-08,Puente ~2.5M
2026-09-05,TCS,Desarrollador Angular,https://www.linkedin.com/jobs/search/?keywords=Angular%20Tata%20Consultancy&location=Colombia,LinkedIn,pendiente,2026-09-08,
2026-09-05,Workana,8 propuestas Angular/Node,https://www.workana.com/es/jobs?query=angular,Freelance,pendiente,2026-09-06,Prioridad vs Salesforce freelance
2026-09-05,Improving,Frontend Angular stretch,https://www.getonbrd.com/jobs/programming/frontend-engineer-angular-improving-south-america-remote,Get on Board,pendiente,2026-09-10,6+ anos
